"","state","stateabb","year","binge_all","binge_male","binge_female","poverty"
"1","Alabama","AL",2016,13,17.6,8.8,17.1
"2","Alaska","AK",2016,18.2,21,15.1,9.9
"3","Arizona","AZ",2016,15.6,21.3,10.1,16.4
"4","Arkansas","AR",2016,15,20.6,9.8,17.2
"5","California","CA",2016,16.3,21.5,11.2,14.3
"6","Colorado","CO",2016,19,24.2,13.9,11
"7","Connecticut","CT",2016,16.7,21.9,11.9,9.8
"8","Delaware","DE",2016,17,20.6,13.7,11.7
"9","District of Columbia","DC",2016,25.6,30.5,21.3,18.6
"10","Florida","FL",2016,15.5,20.1,11.3,14.7
"11","Georgia","GA",2016,13.3,17.4,9.7,16
"12","Hawaii","HI",2016,18.6,24.3,12.8,9.3
"13","Idaho","ID",2016,16.1,20.3,12,14.4
"14","Illinois","IL",2016,19.9,25.6,14.5,13
"15","Indiana","IN",2016,17.5,23.3,12.1,14.1
"16","Iowa","IA",2016,21.2,27.1,15.4,11.8
"17","Kansas","KS",2016,16,21.8,10.4,12.1
"18","Kentucky","KY",2016,14.6,20.5,9.2,18.5
"19","Louisiana","LA",2016,16.9,22.4,11.7,20.2
"20","Maine","ME",2016,18.3,23.4,13.6,12.5
"21","Maryland","MD",2016,15.3,19.5,11.4,9.7
"22","Massachusetts","MA",2016,17.8,22.3,13.8,10.4
"23","Michigan","MI",2016,19,24,14.4,15
"24","Minnesota","MN",2016,21.3,26.5,16.2,9.9
"25","Mississippi","MS",2016,12.3,18,7.1,20.8
"26","Missouri","MO",2016,18.4,23.6,13.5,14
"27","Montana","MT",2016,18.9,24.9,13,13.3
"28","Nebraska","NE",2016,20,27.2,13.1,11.4
"29","Nevada","NV",2016,15.8,20,11.7,13.8
"30","New Hampshire","NH",2016,18,23.1,13.2,7.3
"31","New Jersey","NJ",2016,16,20.3,12,10.4
"32","New Mexico","NM",2016,15,20.8,9.5,19.8
"33","New York","NY",2016,17.5,22.7,12.8,14.7
"34","North Carolina","NC",2016,14.6,18.9,10.7,15.4
"35","North Dakota","ND",2016,24.8,32.1,17.2,10.7
"36","Ohio","OH",2016,17.9,23.5,12.8,14.6
"37","Oklahoma","OK",2016,11.8,16.3,7.7,16.3
"38","Oregon","OR",2016,16.3,20.8,11.9,13.3
"39","Pennsylvania","PA",2016,19.4,25.3,13.8,12.9
"40","Rhode Island","RI",2016,15.8,21,11.1,12.8
"41","South Carolina","SC",2016,16.8,22.9,11.3,15.3
"42","South Dakota","SD",2016,19.3,24.3,14.3,13.3
"43","Tennessee","TN",2016,13.1,16.6,9.8,15.8
"44","Texas","TX",2016,17.9,24.4,11.7,15.6
"45","Utah","UT",2016,12.5,16.7,8.3,10.2
"46","Vermont","VT",2016,18.4,23.3,13.8,11.9
"47","Virginia","VA",2016,15.8,20.2,11.8,11
"48","Washington","WA",2016,16.4,20.7,12.2,11.3
"49","West Virginia","WV",2016,11.3,16.8,6.2,17.9
"50","Wisconsin","WI",2016,24.6,29.7,19.5,11.8
"51","Wyoming","WY",2016,18.4,24.2,12.5,11.3
"52","Guam","GU",2016,20.7,29.8,11.2,NA
"53","Puerto Rico","PR",2016,12.5,18.1,7.7,43.5
"54","Virgin Islands","VI",2016,15.2,22.9,8.6,NA
"55","Guam","GU",2015,21.2,30.8,11.4,NA
"56","Alaska","AK",2015,20.3,23.9,16.4,10.3
"57","Alabama","AL",2015,11.6,16.2,7.5,18.5
"58","Arkansas","AR",2015,14.1,19.8,8.8,19.1
"59","Arizona","AZ",2015,14.2,20.3,8.3,17.4
"60","California","CA",2015,16.5,21.4,11.7,15.3
"61","Colorado","CO",2015,17.6,23,12.4,11.5
"62","Connecticut","CT",2015,16.9,23.1,11.1,10.5
"63","District of Columbia","DC",2015,27.2,33.1,21.9,17.3
"64","Delaware","DE",2015,14.9,17.8,12.4,12.4
"65","Florida","FL",2015,15.6,20.5,11,15.7
"66","Georgia","GA",2015,15.3,20.8,10.2,17
"67","Hawaii","HI",2015,18.9,26.1,11.7,10.6
"68","Iowa","IA",2015,19.8,26.6,13.3,12.2
"69","Idaho","ID",2015,14.1,18.6,9.8,15.1
"70","Illinois","IL",2015,20.2,26.4,14.4,13.6
"71","Indiana","IN",2015,15.7,22,9.8,14.5
"72","Kansas","KS",2015,15.6,21.4,10.1,13
"73","Kentucky","KY",2015,15.3,21.4,9.6,18.5
"74","Louisiana","LA",2015,17.3,22.8,12.2,19.6
"75","Massachusetts","MA",2015,17.7,23.3,12.7,11.5
"76","Maryland","MD",2015,14.2,17.9,10.8,9.7
"77","Maine","ME",2015,17.6,22.6,13,13.4
"78","Michigan","MI",2015,18.5,24.5,12.9,15.8
"79","Minnesota","MN",2015,19.5,25.2,14,10.2
"80","Missouri","MO",2015,16.7,22,11.6,14.8
"81","Mississippi","MS",2015,11.9,18.1,6.2,22
"82","Montana","MT",2015,19.8,26.5,13.2,14.6
"83","North Carolina","NC",2015,13.8,18.8,9.3,16.4
"84","North Dakota","ND",2015,24.1,31,16.9,11
"85","Nebraska","NE",2015,19.5,26,13.1,12.6
"86","New Hampshire","NH",2015,16.5,21.5,11.8,8.2
"87","New Jersey","NJ",2015,16,20.9,11.6,10.8
"88","New Mexico","NM",2015,12.9,17.4,8.6,20.4
"89","Nevada","NV",2015,14.2,20.2,8.4,14.7
"90","New York","NY",2015,16.7,22,11.9,15.4
"91","Ohio","OH",2015,18.2,24,12.9,14.8
"92","Oklahoma","OK",2015,13.1,18,8.6,16.1
"93","Oregon","OR",2015,16.6,20.3,13.1,15.4
"94","Pennsylvania","PA",2015,17,22.6,11.7,13.2
"95","Puerto Rico","PR",2015,12.7,20.1,6.4,46.1
"96","Rhode Island","RI",2015,16,21,11.4,13.9
"97","South Carolina","SC",2015,15.2,20.9,10.1,16.6
"98","South Dakota","SD",2015,16.9,21.9,12,13.7
"99","Tennessee","TN",2015,10.3,14,7,16.7
"100","Texas","TX",2015,15.9,22.2,9.9,15.9
"101","Utah","UT",2015,11.6,15.5,7.8,11.3
"102","Virginia","VA",2015,16.3,20.7,12.3,11.2
"103","Virgin Islands","VI",2015,NA,NA,NA,NA
"104","Vermont","VT",2015,17.2,22.5,12.2,10.2
"105","Washington","WA",2015,16.1,19.4,12.9,12.2
"106","Wisconsin","WI",2015,22.9,28.9,17.1,12.1
"107","West Virginia","WV",2015,10.6,16.5,5,17.9
"108","Wyoming","WY",2015,16,21.3,10.5,11.1
"109","Arkansas","AR",2012,11.8,16.3,7.7,19.8
"110","Alaska","AK",2012,16.8,20.5,12.7,10.1
"111","Alabama","AL",2012,12.3,18.2,7,19
"112","Arizona","AZ",2012,15.3,21.1,9.7,18.7
"113","California","CA",2012,16.9,23.2,10.9,17
"114","Colorado","CO",2012,19.2,24.7,13.8,13.7
"115","Connecticut","CT",2012,17.5,22.9,12.6,10.7
"116","District of Columbia","DC",2012,23.1,27.2,19.6,18.2
"117","Delaware","DE",2012,18.6,23.6,14,12
"118","Florida","FL",2012,16.5,22.1,11.4,17.1
"119","Georgia","GA",2012,14.4,19.4,9.8,19.2
"120","Guam","GU",2012,19.3,28.7,9.8,NA
"121","Hawaii","HI",2012,18.2,25.7,11,11.6
"122","Iowa","IA",2012,21.7,28.5,15.2,12.7
"123","Idaho","ID",2012,14.1,17.9,10.5,15.9
"124","Illinois","IL",2012,21.6,29,14.6,14.7
"125","Indiana","IN",2012,15.9,21.6,10.6,15.6
"126","Kansas","KS",2012,15.8,22.3,9.5,14
"127","Kentucky","KY",2012,14.9,21,9.1,19.4
"128","Louisiana","LA",2012,16.5,24.1,9.7,19.9
"129","Massachusetts","MA",2012,19.7,25.6,14.4,11.9
"130","Maryland","MD",2012,16.4,21.7,11.7,10.3
"131","Maine","ME",2012,17.7,24,11.9,14.7
"132","Michigan","MI",2012,19.2,24.7,14,17.4
"133","Minnesota","MN",2012,21.9,28.5,15.5,11.4
"134","Missouri","MO",2012,17.2,23.5,11.5,16.2
"135","Mississippi","MS",2012,12.1,17.9,7,24.2
"136","Montana","MT",2012,21.7,27.3,16.3,15.5
"137","North Carolina","NC",2012,13.1,18.5,8.2,18
"138","North Dakota","ND",2012,24.1,30,18.1,11.2
"139","Nebraska","NE",2012,22.1,29.1,15.5,13
"140","New Hampshire","NH",2012,17,22,12.3,10
"141","New Jersey","NJ",2012,17.7,23.8,12.1,10.8
"142","New Mexico","NM",2012,14.6,20.3,9.2,20.8
"143","Nevada","NV",2012,15.1,20.7,9.4,16.4
"144","New York","NY",2012,17,23.3,11.2,15.9
"145","Ohio","OH",2012,18,23.5,13,16.3
"146","Oklahoma","OK",2012,14.4,19.7,9.3,17.2
