"","country","year","PPP"
"1","AUS","1997",1.31
"2","AUS","1998",1.3
"3","AUS","1999",1.3
"4","AUS","2000",1.31
"5","AUS","2001",1.33
"6","AUS","2002",1.34
"7","AUS","2003",1.36
"8","AUS","2004",1.36
"9","AUS","2005",1.39
"10","AUS","2006",1.4
"11","AUS","2007",1.43
"12","AUS","2008",1.48
"13","AUS","2009",1.44
"14","AUS","2010",1.5
"15","AUS","2011",1.51
"16","AUS","2012",1.54
"17","AUS","2013",1.45
"18","AUS","2014",1.45
"19","AUS","2015",1.47
"20","AUS","2016",1.49
"21","AUS","2017",1.47
"22","AUT","1997",0.932
"23","AUT","1998",0.924
"24","AUT","1999",0.924
"25","AUT","2000",0.908
"26","AUT","2001",0.922
"27","AUT","2002",0.9
"28","AUT","2003",0.889
"29","AUT","2004",0.879
"30","AUT","2005",0.882
"31","AUT","2006",0.861
"32","AUT","2007",0.869
"33","AUT","2008",0.854
"34","AUT","2009",0.844
"35","AUT","2010",0.841
"36","AUT","2011",0.831
"37","AUT","2012",0.814
"38","AUT","2013",0.797
"39","AUT","2014",0.799
"40","AUT","2015",0.799
"41","AUT","2016",0.8
"42","AUT","2017",0.801
"43","BEL","1997",0.928
"44","BEL","1998",0.936
"45","BEL","1999",0.931
"46","BEL","2000",0.9
"47","BEL","2001",0.892
"48","BEL","2002",0.873
"49","BEL","2003",0.877
"50","BEL","2004",0.889
"51","BEL","2005",0.892
"52","BEL","2006",0.875
"53","BEL","2007",0.88
"54","BEL","2008",0.867
"55","BEL","2009",0.85
"56","BEL","2010",0.836
"57","BEL","2011",0.832
"58","BEL","2012",0.822
"59","BEL","2013",0.806
"60","BEL","2014",0.8
"61","BEL","2015",0.801
"62","BEL","2016",0.804
"63","BEL","2017",0.804
"64","CAN","1997",1.2
"65","CAN","1998",1.19
"66","CAN","1999",1.19
"67","CAN","2000",1.23
"68","CAN","2001",1.22
"69","CAN","2002",1.23
"70","CAN","2003",1.23
"71","CAN","2004",1.23
"72","CAN","2005",1.21
"73","CAN","2006",1.21
"74","CAN","2007",1.21
"75","CAN","2008",1.23
"76","CAN","2009",1.2
"77","CAN","2010",1.22
"78","CAN","2011",1.24
"79","CAN","2012",1.24
"80","CAN","2013",1.22
"81","CAN","2014",1.23
"82","CAN","2015",1.25
"83","CAN","2016",1.25
"84","CAN","2017",1.25
"85","CZE","1997",12.9
"86","CZE","1998",14
"87","CZE","1999",14.2
"88","CZE","2000",14.3
"89","CZE","2001",14.3
"90","CZE","2002",14.5
"91","CZE","2003",14.2
"92","CZE","2004",14.4
"93","CZE","2005",14.6
"94","CZE","2006",14.4
"95","CZE","2007",14.3
"96","CZE","2008",13.9
"97","CZE","2009",13.6
"98","CZE","2010",13.7
"99","CZE","2011",13.3
"100","CZE","2012",13.3
"101","CZE","2013",12.8
"102","CZE","2014",12.7
"103","CZE","2015",13
"104","CZE","2016",13
"105","CZE","2017",13.1
"106","DNK","1997",8.7
"107","DNK","1998",8.67
"108","DNK","1999",8.75
"109","DNK","2000",8.67
"110","DNK","2001",8.68
"111","DNK","2002",8.56
"112","DNK","2003",8.66
"113","DNK","2004",8.46
"114","DNK","2005",8.57
"115","DNK","2006",8.29
"116","DNK","2007",8.17
"117","DNK","2008",7.94
"118","DNK","2009",7.73
"119","DNK","2010",7.58
"120","DNK","2011",7.47
"121","DNK","2012",7.56
"122","DNK","2013",7.35
"123","DNK","2014",7.33
"124","DNK","2015",7.33
"125","DNK","2016",7.36
"126","DNK","2017",7.24
"127","FIN","1997",0.99
"128","FIN","1998",0.992
"129","FIN","1999",0.992
"130","FIN","2000",0.984
"131","FIN","2001",1
"132","FIN","2002",0.998
"133","FIN","2003",1
"134","FIN","2004",0.974
"135","FIN","2005",0.979
"136","FIN","2006",0.954
"137","FIN","2007",0.936
"138","FIN","2008",0.912
"139","FIN","2009",0.896
"140","FIN","2010",0.9
"141","FIN","2011",0.898
"142","FIN","2012",0.908
"143","FIN","2013",0.905
"144","FIN","2014",0.907
"145","FIN","2015",0.909
"146","FIN","2016",0.905
"147","FIN","2017",0.904
"148","FRA","1997",0.97
"149","FRA","1998",0.962
"150","FRA","1999",0.953
"151","FRA","2000",0.93
"152","FRA","2001",0.911
"153","FRA","2002",0.901
"154","FRA","2003",0.931
"155","FRA","2004",0.936
"156","FRA","2005",0.916
"157","FRA","2006",0.896
"158","FRA","2007",0.89
"159","FRA","2008",0.882
"160","FRA","2009",0.863
"161","FRA","2010",0.854
"162","FRA","2011",0.841
"163","FRA","2012",0.844
"164","FRA","2013",0.812
"165","FRA","2014",0.808
"166","FRA","2015",0.814
"167","FRA","2016",0.806
"168","FRA","2017",0.797
"169","DEU","1997",0.973
"170","DEU","1998",0.97
"171","DEU","1999",0.954
"172","DEU","2000",0.943
"173","DEU","2001",0.929
"174","DEU","2002",0.913
"175","DEU","2003",0.897
"176","DEU","2004",0.876
"177","DEU","2005",0.873
"178","DEU","2006",0.848
"179","DEU","2007",0.838
"180","DEU","2008",0.82
"181","DEU","2009",0.811
"182","DEU","2010",0.804
"183","DEU","2011",0.789
"184","DEU","2012",0.787
"185","DEU","2013",0.775
"186","DEU","2014",0.769
"187","DEU","2015",0.779
"188","DEU","2016",0.78
"189","DEU","2017",0.779
"190","GRC","1997",0.628
"191","GRC","1998",0.648
"192","GRC","1999",0.673
"193","GRC","2000",0.67
"194","GRC","2001",0.668
"195","GRC","2002",0.663
"196","GRC","2003",0.686
"197","GRC","2004",0.695
"198","GRC","2005",0.709
"199","GRC","2006",0.693
"200","GRC","2007",0.719
"201","GRC","2008",0.708
"202","GRC","2009",0.704
"203","GRC","2010",0.721
"204","GRC","2011",0.713
"205","GRC","2012",0.685
"206","GRC","2013",0.631
"207","GRC","2014",0.611
"208","GRC","2015",0.61
"209","GRC","2016",0.604
"210","GRC","2017",0.598
"211","HUN","1997",87.4
"212","HUN","1998",97.9
"213","HUN","1999",105
"214","HUN","2000",110
"215","HUN","2001",114
"216","HUN","2002",118
"217","HUN","2003",122
"218","HUN","2004",128
"219","HUN","2005",131
"220","HUN","2006",132
"221","HUN","2007",134
"222","HUN","2008",131
"223","HUN","2009",128
"224","HUN","2010",126
"225","HUN","2011",124
"226","HUN","2012",126
"227","HUN","2013",125
"228","HUN","2014",129
"229","HUN","2015",133
"230","HUN","2016",135
"231","HUN","2017",139
"232","ISL","1997",73.7
"233","ISL","1998",76.7
"234","ISL","1999",79.2
"235","ISL","2000",84.7
"236","ISL","2001",88.2
"237","ISL","2002",91.1
"238","ISL","2003",92.7
"239","ISL","2004",93.3
"240","ISL","2005",95.8
"241","ISL","2006",102
"242","ISL","2007",107
"243","ISL","2008",115
"244","ISL","2009",122
"245","ISL","2010",133
"246","ISL","2011",135
"247","ISL","2012",137
"248","ISL","2013",137
"249","ISL","2014",139
"250","ISL","2015",142
"251","ISL","2016",144
"252","ISL","2017",141
"253","IRL","1997",0.835
"254","IRL","1998",0.864
"255","IRL","1999",0.914
"256","IRL","2000",0.944
"257","IRL","2001",0.968
"258","IRL","2002",0.982
"259","IRL","2003",1.01
"260","IRL","2004",0.992
"261","IRL","2005",1.01
"262","IRL","2006",0.979
"263","IRL","2007",0.959
"264","IRL","2008",0.944
"265","IRL","2009",0.901
"266","IRL","2010",0.849
"267","IRL","2011",0.832
"268","IRL","2012",0.823
"269","IRL","2013",0.811
"270","IRL","2014",0.819
"271","IRL","2015",0.813
"272","IRL","2016",0.812
"273","IRL","2017",0.813
"274","ITA","1997",0.805
"275","ITA","1998",0.8
"276","ITA","1999",0.806
"277","ITA","2000",0.805
"278","ITA","2001",0.815
"279","ITA","2002",0.823
"280","ITA","2003",0.834
"281","ITA","2004",0.852
"282","ITA","2005",0.855
"283","ITA","2006",0.824
"284","ITA","2007",0.81
"285","ITA","2008",0.784
"286","ITA","2009",0.771
"287","ITA","2010",0.772
"288","ITA","2011",0.759
"289","ITA","2012",0.748
"290","ITA","2013",0.737
"291","ITA","2014",0.74
"292","ITA","2015",0.743
"293","ITA","2016",0.722
"294","ITA","2017",0.719
"295","JPN","1997",169
"296","JPN","1998",167
"297","JPN","1999",162
"298","JPN","2000",155
"299","JPN","2001",150
"300","JPN","2002",144
"301","JPN","2003",140
"302","JPN","2004",134
"303","JPN","2005",130
"304","JPN","2006",125
"305","JPN","2007",120
"306","JPN","2008",117
"307","JPN","2009",115
"308","JPN","2010",112
"309","JPN","2011",107
"310","JPN","2012",104
"311","JPN","2013",101
"312","JPN","2014",103
"313","JPN","2015",103
"314","JPN","2016",100
"315","JPN","2017",99.6
"316","KOR","1997",749
"317","KOR","1998",776
"318","KOR","1999",755
"319","KOR","2000",747
"320","KOR","2001",757
"321","KOR","2002",770
"322","KOR","2003",792
"323","KOR","2004",794
"324","KOR","2005",789
"325","KOR","2006",772
"326","KOR","2007",770
"327","KOR","2008",786
"328","KOR","2009",825
"329","KOR","2010",841
"330","KOR","2011",855
"331","KOR","2012",855
"332","KOR","2013",869
"333","KOR","2014",872
"334","KOR","2015",871
"335","KOR","2016",875
"336","KOR","2017",877
"337","LUX","1997",0.974
"338","LUX","1998",0.965
"339","LUX","1999",0.958
"340","LUX","2000",0.956
"341","LUX","2001",0.962
"342","LUX","2002",0.957
"343","LUX","2003",0.966
"344","LUX","2004",0.952
"345","LUX","2005",0.946
"346","LUX","2006",0.918
"347","LUX","2007",0.922
"348","LUX","2008",0.9
"349","LUX","2009",0.903
"350","LUX","2010",0.925
"351","LUX","2011",0.905
"352","LUX","2012",0.907
"353","LUX","2013",0.895
"354","LUX","2014",0.884
"355","LUX","2015",0.892
"356","LUX","2016",0.889
"357","LUX","2017",0.89
"358","MEX","1997",4.35
"359","MEX","1998",4.97
"360","MEX","1999",5.63
"361","MEX","2000",6.09
"362","MEX","2001",6.3
"363","MEX","2002",6.55
"364","MEX","2003",6.8
"365","MEX","2004",7.17
